"comment_id","post_id","company_name","like_num","word_count","comment_count","unix_time","happy","angry","excited","sad","fear","bored"
"10153269710983949_10155795753728949","6806028948_10153269710983949","Southwest",1501,2,0,1502164720,0.443410433,0.079010561,0.266034207,0.095995887,0.086385367,0.029163544
"10153422011443949_10155796577263949","6806028948_10153422011443949","Southwest",579,17,0,1502191251,0.329865651,0.123582946,0.450850073,0.043780619,0.042492639,0.009428071
"10153693253433949_10155832381678949","6806028948_10153693253433949","Southwest",3559,6,0,1503190584,0.163887853,0.380511603,0.057430657,0.271354992,0.118793368,0.008021527
"10154306744788949_1576952425682630","6806028948_10154306744788949","Southwest",4369,42,0,1502082180,0.168590863,0.119800844,0.117752314,0.388918146,0.169458131,0.035479702
"10154529433813949_10155783474768949","6806028948_10154529433813949","Southwest",2105,2,0,1501833320,0.435965117,0.126128982,0.280718743,0.0726377,0.084549458,0
"10154544613248949_10155785914123949","6806028948_10154544613248949","Southwest",1412,103,0,1501900063,0.081627191,0.307564703,0.068581707,0.259048662,0.189832636,0.093345102
"10154550101708949_205477943321468","6806028948_10154550101708949","Southwest",4672,3,0,1502996407,0.006978888,0.285191643,0.010714609,0.457215245,0.127572904,0.112326711
"10154601033558949_10155868239583949","6806028948_10154601033558949","Southwest",575,25,0,1504206981,0.582517601,0.03200625,0.298598652,0.047301635,0.036365977,0.003209885
"10154617881643949_10155864280698949","6806028948_10154617881643949","Southwest",1262,9,0,1504099763,0.039610881,0.068903929,0.070037609,0.225857798,0.503563007,0.092026776
"10154852670933949_10155819429353949","6806028948_10154852670933949","Southwest",1154,77,0,1502823347,0.105859951,0.241998632,0.12475393,0.151632434,0.265444848,0.110310206
"10154980247583949_10155854641378949","6806028948_10154980247583949","Southwest",472,29,0,1503822791,0.043132029,0.351892672,0.070055972,0.208707675,0.255741052,0.0704706
"10155037785928949_10155828925068949","6806028948_10155037785928949","Southwest",2415,71,0,1503092028,0.42352201,0.095585104,0.25402597,0.133906567,0.092960348,0
"10155178631813949_10155854637088949","6806028948_10155178631813949","Southwest",4364,11,0,1503822696,0.018132204,0.1915221,0.033437961,0.260566753,0.457470816,0.038870166
"10155316963468949_10155842648813949","6806028948_10155316963468949","Southwest",481,2,0,1503492055,0.232790794,0.174072546,0.204445364,0.140367281,0.137412946,0.11091107
"10155316963468949_10155842649963949","6806028948_10155316963468949","Southwest",481,2,2,1503492095,0.396570549,0.127082482,0.226548054,0.099311947,0.102223962,0.048263005
"10155316963468949_10155842650393949","6806028948_10155316963468949","Southwest",481,2,0,1503492118,0.377136901,0.105397633,0.208662095,0.112732748,0.111125849,0.084944774
"10155316963468949_10155842956323949","6806028948_10155316963468949","Southwest",481,6,0,1503505051,0.184040584,0.224885054,0.205049045,0.164165234,0.185844749,0.036015334
"10155316963468949_10155843256508949","6806028948_10155316963468949","Southwest",481,2,0,1503511542,0.105786016,0.294568616,0.187492379,0.162934862,0.114937098,0.13428103
"10155316963468949_10155844727058949","6806028948_10155316963468949","Southwest",481,3,1,1503545170,0.447322735,0.080904955,0.214872248,0.142219329,0.114680733,0
"10155316963468949_10155864186598949","6806028948_10155316963468949","Southwest",481,2,0,1504095712,0.29506541,0.150580701,0.178310279,0.179800231,0.137759537,0.058483842
"10155424904373949_122001931777095","6806028948_10155424904373949","Southwest",4134,2,0,1502386789,0.384280968,0.131595097,0.239337405,0.091675315,0.100344296,0.052766917
"10155424904373949_1584867578224111","6806028948_10155424904373949","Southwest",4134,15,0,1503210939,0.214783066,0.171943546,0.203071898,0.147568337,0.209841481,0.052791672
"10155424904373949_1908942936014440","6806028948_10155424904373949","Southwest",4134,26,0,1503212341,0.446966717,0.045774879,0.146566749,0.160722587,0.145236992,0.054732076
"10155424904373949_1951492841785154","6806028948_10155424904373949","Southwest",4134,3,5,1503640020,0.209212739,0.190864194,0.214561439,0.150711349,0.149185624,0.085464655
"10155465918818949_10155787210228949","6806028948_10155465918818949","Southwest",680,13,0,1501938103,0.218259631,0.099777882,0.125379871,0.330238208,0.145708629,0.08063578
"10155565847663949_10155860724723949","6806028948_10155565847663949","Southwest",3395,61,0,1504000241,0.318077741,0.037530073,0.182551867,0.235992401,0.201468239,0.02437968
"10155572053653949_10155854645298949","6806028948_10155572053653949","Southwest",4383,25,0,1503822865,0.030199869,0.411522629,0.033451246,0.2309989,0.11732554,0.176501817
"10155695249133949_1901663336824064","6806028948_10155695249133949","Southwest",4488,3,0,1504018836,0.182131024,0.073206206,0.383179888,0.032052258,0.143176022,0.186254603
"10155695249133949_243433456178985","6806028948_10155695249133949","Southwest",4488,32,0,1503441548,0.107273179,0.29438311,0.118368828,0.263874659,0.183052344,0.03304788
"10155696759283949_10155826008633949","6806028948_10155696759283949","Southwest",754,29,0,1503011817,0.416258807,0.024523567,0.357776547,0.050775269,0.142981545,0.007684265
"10155696759283949_10155829247728949","6806028948_10155696759283949","Southwest",754,12,0,1503099781,0.277939154,0.141095654,0.511306207,0.011211221,0.053856326,0.004591438
"10155704298688949_10155824580033949","6806028948_10155704298688949","Southwest",1742,2,0,1502967393,0.01411801,0.117072689,0.016360279,0.237431882,0.515678804,0.099338336
"10155704321768949_10155854648178949","6806028948_10155704321768949","Southwest",581,24,0,1503822940,0.042971396,0.4387036,0.061164365,0.21698978,0.15540656,0.084764298
"10155722986568949_10155829041563949","6806028948_10155722986568949","Southwest",724,13,0,1503094947,0.558880535,0.089439396,0.308143271,0.009837051,0.033699748,0
"10155735400163949_10155835270303949","6806028948_10155735400163949","Southwest",565,99,0,1503278651,0.01249089,0.470377847,0.018097275,0.352939198,0.133403011,0.012691779
"10155752363988949_130451207567627","6806028948_10155752363988949","Southwest",2142,2,0,1502509938,0.225702311,0.150971288,0.242434187,0.147178037,0.159976896,0.07373728
"10155752363988949_157925218095839","6806028948_10155752363988949","Southwest",2142,6,0,1503032055,0.129565154,0.177249088,0.107220098,0.27279296,0.232123,0.0810497
"10155752363988949_404862953248595","6806028948_10155752363988949","Southwest",2142,7,0,1501878321,0.071411946,0.386475006,0.079118412,0.108813404,0.064676087,0.289505145
"10155752363988949_694201290773490","6806028948_10155752363988949","Southwest",2142,5,0,1502045577,0.262816928,0.037269096,0.110173665,0.080438858,0.484376581,0.024924872
"10155752363988949_873258046157226","6806028948_10155752363988949","Southwest",2142,3,0,1501615769,0.254675726,0.180957546,0.217517602,0.125192991,0.127594071,0.094062065
"10155755417353949_10155776194308949","6806028948_10155755417353949","Southwest",3359,11,0,1501626728,0.133554187,0.119176011,0.294090019,0.098792129,0.260789255,0.0935984
"10155755417353949_10155779536703949","6806028948_10155755417353949","Southwest",3359,12,0,1501724146,0.223677466,0.069493248,0.062701332,0.467267722,0.167069547,0.009790686
